InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001678,S13002585,S12000036,S16000109,S03000042,S08000024
S02001679,S13002588,S12000036,S16000109,S03000042,S08000024
S02001680,S13002588,S12000036,S16000109,S03000042,S08000024
S02001681,S13002588,S12000036,S16000109,S03000042,S08000024
S02001682,S13002585,S12000036,S16000109,S03000042,S08000024
S02001683,S13002584,S12000036,S16000107,S03000042,S08000024
S02001684,S13002583,S12000036,S16000109,S03000042,S08000024
S02001685,S13002583,S12000036,S16000109,S03000042,S08000024
S02001686,S13002583,S12000036,S16000109,S03000042,S08000024
S02001687,S13002600,S12000013,S16000110,S03000041,S08000028
S02001688,S13002601,S12000013,S16000110,S03000041,S08000028
S02001689,S13002602,S12000013,S16000110,S03000041,S08000028
S02001690,S13002602,S12000013,S16000110,S03000041,S08000028
S02001691,S13002608,S12000013,S16000110,S03000041,S08000028
S02001692,S13002607,S12000013,S16000110,S03000041,S08000028
S02001693,S13002606,S12000013,S16000110,S03000041,S08000028
S02001694,S13002605,S12000013,S16000110,S03000041,S08000028
S02001695,S13002604,S12000013,S16000110,S03000041,S08000028
S02001696,S13002611,S12000014,S16000113,S03000010,S08000019
